State,Confirmed Cases,Active Cases,Cured,Death
Andaman and Nicobar Islands,9925,192,9604,129
Andhra Pradesh,2305052,62395,2227985,14672
Arunachal Pradesh,63619,1443,61884,292
Assam,721937,8435,706931,6571
Bihar,827547,2355,812953,12239
Chandigarh,90811,1323,88347,1141
Chhattisgarh,1140467,13706,1112810,13951
Dadra and Nagar Haveli and Daman and Diu,11402,95,11303,4
Delhi,1845084,7885,1811201,25998
Goa,242659,4377,234534,3748
Gujarat,1203150,38644,1153818,10688
Haryana,966094,11802,943876,10416
Himachal Pradesh,277236,5431,267754,4051
India,42339611,994891,40840658,504062
Jammu and Kashmir,447334,14924,427689,4721
Jharkhand,431905,2421,424171,5313
Karnataka,3902309,87114,3775799,39396
Kerala,6293907,302183,5932609,59115
Ladakh,26992,882,25884,226
Lakshadweep,11241,148,11041,52
Madhya Pradesh,1009698,40591,958443,10664
Maharashtra,7810136,110004,7557034,143098
Manipur,135010,3659,129285,2066
Meghalaya,92363,1339,89476,1548
Mizoram,188109,13991,173495,623
Nagaland,34927,691,33490,746
Odisha,1268308,17957,1241597,8754
Puducherry,164376,3689,158737,1950
Punjab,752635,8750,726416,17469
Rajasthan,1247480,40880,1197209,9391
Sikkim,38709,539,37734,436
Tamil Nadu,3415986,105892,3272322,37772
Telangana,778910,24000,750809,4101
Tripura,100697,596,99182,919
Uttar Pradesh,2046920,26725,1996865,23330
Uttarakhand,430163,12969,409574,7620
West Bengal,2006513,16864,1968797,20852
